customer_id,customer_name,age,gender,city,area,preferred_cuisine,avg_monthly_orders,is_premium_user,joined_year
C10001,Amit Bhat,33,Female,Delhi,South Extension,Chinese,6,False,2023
C10002,Pallavi Kapoor,28,Male,Delhi,Vasant Kunj,Street Food,4,False,2017
C10003,Alok Jain,28,Male,Chennai,Vadapalani,Chinese,1,False,2022
C10004,Alok Pandey,28,Male,Delhi,Lajpat Nagar,North Indian,10,False,2021
C10005,Mohit Tiwari,42,Female,Mumbai,Kandivali,South Indian,1,True,2017
C10006,Vishal Sharma,36,Female,Delhi,Greater Kailash,Chinese,17,False,2017
C10007,Deepak Verma,26,Male,Kolkata,Jadavpur,Pizza,1,False,2017
C10008,Rahul Joshi,34,Female,Delhi,South Extension,Fast Food,1,False,2019
C10009,Rohan Nair,31,Female,Delhi,Karol Bagh,Pizza,2,False,2018
C10010,Sunita Iyer,18,Female,Chennai,Adyar,North Indian,1,False,2020
C10011,Vishal Khanna,21,Female,Pune,Shivajinagar,Fast Food,1,False,2019
C10012,Gaurav Shah,32,Male,Delhi,Dwarka,Chinese,2,False,2017
C10013,Sunita Deshpande,41,Female,Hyderabad,Jubilee Hills,Street Food,1,True,2019
C10014,Nikhil Patel,28,Male,Chennai,Chromepet,Seafood,3,True,2020
C10015,Simran Sen,25,Male,Pune,Kothrud,Chinese,4,False,2022
C10016,Simran Chawla,30,Female,Hyderabad,Madhapur,Street Food,1,False,2017
C10017,Anjali Sen,25,Male,Pune,Magarpatta,Fast Food,5,False,2019
C10018,Meera Saxena,27,Male,Bangalore,Marathahalli,Biryani,2,False,2020
C10019,Vishal Kapoor,29,Male,Delhi,Karol Bagh,Fast Food,1,True,2023
C10020,Manish Bhatia,21,Female,Hyderabad,Jubilee Hills,Street Food,12,True,2018
C10021,Rajesh Nair,36,Male,Mumbai,Worli,Street Food,1,False,2021
C10022,Ritika Kulkarni,20,Male,Pune,JM Road,South Indian,3,False,2023
C10023,Varun Nair,19,Male,Delhi,Nehru Place,Mughlai,17,True,2022
C10024,Vivek Bose,31,Male,Chennai,Mylapore,North Indian,7,True,2019
C10025,Harish Patel,35,Male,Chennai,Guindy,South Indian,1,False,2018
C10026,Bhavna Iyer,31,Male,Hyderabad,Madhapur,Street Food,1,False,2020
C10027,Rekha Kapoor,29,Male,Bangalore,Whitefield,Chinese,2,False,2020
C10028,Lakshmi Deshpande,27,Female,Bangalore,Jayanagar,Chinese,1,True,2022
C10029,Suresh Saxena,26,Female,Bangalore,Bellandur,Continental,1,False,2019
C10030,Shreya Patil,38,Male,Hyderabad,Mehdipatnam,South Indian,3,False,2018
C10031,Vivek Sen,32,Male,Delhi,Khan Market,Mughlai,1,False,2020
C10032,Pooja Joshi,26,Male,Delhi,Saket,North Indian,21,False,2023
C10033,Preeti Shah,24,Male,Bangalore,Jayanagar,South Indian,1,True,2022
